Ba_3d_BE	Ba_3d_cps	O_1s_(2)_BE	O_1s_(2)_cps	O_1s_BE	O_1s_cps	C_1s_BE	C_1s_cps	N_1s_BE	N_1s_cps	Cl_2p_BE	Cl_2p_cps	Au_4f_BE	Au_4f_cps	overview_BE	overview_cps	
784.0	8347.375	536.0	6591.7443	560.0	7114.625	295.0	3833.6964	405.0	6701.655	204.0	3854.4167	95.0	4207.5	1200.0	11420
783.9	8347.9375	535.9	6609.9659	559.9	7099.9	294.9	3838.0357	404.9	6696.3	203.9	3859.2292	94.9	4178.75	1199.0	10940
783.8	8341.1094	535.8	6601.0341	559.8	7121.275	294.8	3828.1429	404.8	6694.925	203.8	3863.4583	94.8	4175.625	1198.0	10990
783.7	8349.7188	535.7	6604.5	559.7	7105.55	294.7	3834.0893	404.7	6692.38	203.7	3867.2083	94.7	4241.875	1197.0	11015
783.6	8369.9375	535.6	6614.108	559.6	7095.2	294.6	3834.1786	404.6	6687.04	203.6	3849.3542	94.6	4161.875	1196.0	11170
783.5	8372.8906	535.5	6625.1591	559.5	7108.925	294.5	3836.25	404.5	6701.825	203.5	3857.0417	94.5	4228.75	1195.0	11000
783.4	8362.6719	535.4	6631.7841	559.4	7113.1	294.4	3841.6607	404.4	6694.815	203.4	3861.4167	94.4	4208.75	1194.0	11145
783.3	8401.6406	535.3	6641.2898	559.3	7106.15	294.3	3824.3036	404.3	6700.97	203.3	3852.5	94.3	4198.125	1193.0	10830
783.2	8417.3281	535.2	6652.6023	559.2	7091.875	294.2	3819.0179	404.2	6703.595	203.2	3870.6458	94.2	4231.875	1192.0	10540
783.1	8417.9219	535.1	6672.517	559.1	7110.475	294.1	3824.0714	404.1	6701.715	203.1	3839.1875	94.1	4233.125	1191.0	10810
783.0	8424.7344	535.0	6667.6591	559.0	7103.325	294.0	3845.1607	404.0	6715.98	203.0	3862.7917	94.0	4209.375	1190.0	10745
782.9	8468.5781	534.9	6688.0625	558.9	7119.1	293.9	3830.4643	403.9	6707.525	202.9	3854.625	93.9	4218.75	1189.0	10825
782.8	8514.25	534.8	6691.7557	558.8	7104.55	293.8	3832.1607	403.8	6713.44	202.8	3866.4375	93.8	4245.625	1188.0	10595
782.7	8518.7031	534.7	6720.5284	558.7	7107.475	293.7	3834.8929	403.7	6705.92	202.7	3857.6667	93.7	4180.0	1187.0	10545
782.6	8563.1406	534.6	6748.608	558.6	7114.175	293.6	3822.4643	403.6	6727.165	202.6	3875.4792	93.6	4239.375	1186.0	10720
782.5	8613.5938	534.5	6756.1818	558.5	7126.85	293.5	3837.4286	403.5	6722.81	202.5	3861.7917	93.5	4215.0	1185.0	10835
782.4	8676.2969	534.4	6774.0682	558.4	7085.525	293.4	3831.9107	403.4	6716.315	202.4	3870.6458	93.4	4161.875	1184.0	10600
782.3	8707.8438	534.3	6784.4943	558.3	7113.625	293.3	3830.8393	403.3	6721.085	202.3	3875.7917	93.3	4220.0	1183.0	10610
782.2	8774.7188	534.2	6791.7273	558.2	7132.5	293.2	3824.6071	403.2	6713.275	202.2	3874.625	93.2	4215.0	1182.0	10755
782.1	8832.0625	534.1	6803.6818	558.1	7091.775	293.1	3827.6786	403.1	6713.5	202.1	3866.0625	93.1	4236.25	1181.0	10350
782.0	8906.5313	534.0	6819.8352	558.0	7100.675	293.0	3838.0357	403.0	6728.315	202.0	3877.1458	93.0	4204.375	1180.0	9910
781.9	8978.6406	533.9	6821.1932	557.9	7111.5	292.9	3828.4464	402.9	6724.685	201.9	3880.1667	92.9	4246.875	1179.0	10260
781.8	9045.625	533.8	6827.2727	557.8	7120.325	292.8	3823.5357	402.8	6738.21	201.8	3866.3333	92.8	4256.25	1178.0	10540
781.7	9107.7969	533.7	6829.6136	557.7	7098.875	292.7	3845.3393	402.7	6747.065	201.7	3874.125	92.7	4193.75	1177.0	10095
781.6	9188.5938	533.6	6820.6818	557.6	7082.35	292.6	3854.8036	402.6	6741.0	201.6	3876.875	92.6	4230.0	1176.0	9945
781.5	9263.0781	533.5	6807.767	557.5	7106.725	292.5	3831.5536	402.5	6739.405	201.5	3878.1667	92.5	4161.25	1175.0	10465
