Ba_3d_BE	Ba_3d_cps	O_1s_(2)_BE	O_1s_(2)_cps	O_1s_BE	O_1s_cps	C_1s_BE	C_1s_cps	N_1s_BE	N_1s_cps	Cl_2p_BE	Cl_2p_cps	Au_4f_BE	Au_4f_cps	overview_BE	overview_cps	
784.0	8621.8125	536.0	6844.0972	560.0	7412.125	295.0	3930.375	405.0	6915.3333	204.0	3984.8125	95.0	4241.25	1200.0	11790
783.9	8619.375	535.9	6870.0833	559.9	7399.375	294.9	3954.8125	404.9	6925.4444	203.9	3983.375	94.9	4387.5	1199.0	11550
783.8	8628.375	535.8	6853.6528	559.8	7466.0	294.8	3972.0	404.8	6918.5	203.8	3951.8125	94.8	4128.75	1198.0	12155
783.7	8623.3125	535.7	6874.8472	559.7	7398.875	294.7	3961.125	404.7	6914.9167	203.7	3951.1875	94.7	4425.0	1197.0	11980
783.6	8653.625	535.6	6860.9306	559.6	7391.0	294.6	3955.25	404.6	6916.125	203.6	3982.0	94.6	4382.5	1196.0	12045
783.5	8613.625	535.5	6892.5833	559.5	7397.625	294.5	3969.25	404.5	6938.0972	203.5	3959.0625	94.5	4385.0	1195.0	11405
783.4	8612.375	535.4	6896.1111	559.4	7394.5	294.4	3930.3125	404.4	6914.0139	203.4	3962.5	94.4	4248.75	1194.0	11120
783.3	8582.0625	535.3	6903.8056	559.3	7376.625	294.3	3969.0	404.3	6921.1944	203.3	3968.1875	94.3	4311.25	1193.0	11670
783.2	8650.375	535.2	6895.2778	559.2	7475.125	294.2	3939.75	404.2	6938.2917	203.2	3981.375	94.2	4260.0	1192.0	11710
783.1	8691.125	535.1	6932.3333	559.1	7352.625	294.1	3983.25	404.1	6936.7917	203.1	3940.75	94.1	4343.75	1191.0	11610
783.0	8669.4375	535.0	6917.6806	559.0	7392.5	294.0	3947.75	404.0	6938.9306	203.0	3950.375	94.0	4423.75	1190.0	11530
782.9	8691.375	534.9	6937.0694	558.9	7349.0	293.9	4019.5625	403.9	6946.0417	202.9	3964.0625	93.9	4325.0	1189.0	11430
782.8	8668.3125	534.8	6952.2361	558.8	7435.625	293.8	3971.1875	403.8	6923.875	202.8	3968.9375	93.8	4225.0	1188.0	11135
782.7	8696.5625	534.7	6968.2361	558.7	7395.625	293.7	3965.0625	403.7	6936.9722	202.7	3945.875	93.7	4296.25	1187.0	11755
782.6	8740.25	534.6	7004.2361	558.6	7382.25	293.6	3976.6875	403.6	6946.5	202.6	3960.1875	93.6	4303.75	1186.0	11500
782.5	8786.375	534.5	7007.2083	558.5	7384.625	293.5	3989.125	403.5	6937.0139	202.5	3994.5625	93.5	4328.75	1185.0	11505
782.4	8762.4375	534.4	7024.2083	558.4	7451.125	293.4	3955.75	403.4	6958.9444	202.4	3982.75	93.4	4276.25	1184.0	11600
782.3	8805.25	534.3	7063.8889	558.3	7393.375	293.3	3987.1875	403.3	6948.5833	202.3	3934.1875	93.3	4308.75	1183.0	11420
782.2	8899.8125	534.2	7055.1667	558.2	7417.0	293.2	3933.8125	403.2	6964.625	202.2	3977.8125	93.2	4335.0	1182.0	11440
782.1	8928.4375	534.1	7078.6806	558.1	7397.0	293.1	3975.25	403.1	6943.2917	202.1	3970.75	93.1	4436.25	1181.0	10995
782.0	8922.375	534.0	7053.5417	558.0	7378.875	293.0	3947.0625	403.0	6976.4861	202.0	3973.375	93.0	4343.75	1180.0	11175
781.9	9007.3125	533.9	7082.875	557.9	7376.375	292.9	3964.5	402.9	6951.9583	201.9	3965.6875	92.9	4412.5	1179.0	11335
781.8	9072.25	533.8	7112.9583	557.8	7416.375	292.8	3945.125	402.8	6968.125	201.8	3989.1875	92.8	4331.25	1178.0	11070
781.7	9096.125	533.7	7086.5417	557.7	7407.75	292.7	3944.3125	402.7	6970.0	201.7	3938.0	92.7	4293.75	1177.0	10815
781.6	9143.4375	533.6	7093.1806	557.6	7430.0	292.6	3973.25	402.6	6949.1111	201.6	3973.1875	92.6	4430.0	1176.0	10985
781.5	9158.375	533.5	7070.6389	557.5	7411.125	292.5	3964.0	402.5	6982.9444	201.5	4013.6875	92.5	4562.5	1175.0	10580
781.4	9177.8125	533.4	7081.8056	557.4	7425.625	292.4	3949.375	402.4	6972.6528	201.4	3997.1875	92.4	4400.0	1174.0	10450
781.3	9213.8125	533.3	7047.9861	557.3	7396.0	292.3	3967.625	402.3	6992.8889	201.3	3981.1875	92.3	4368.75	1173.0	11070
781.2	9281.25	533.2	7048.1111	557.2	7367.625	292.2	3956.5	402.2	7006.1667	201.2	3959.5	92.2	4395.0	1172.0	11040
781.1	9377.375	533.1	7012.3611	557.1	7383.125	292.1	3949.4375	402.1	6983.6389	201.1	4027.625	92.1	4372.5	1171.0	10950
781.0	9286.0625	533.0	6994.9444	557.0	7423.75	292.0	3996.6875	402.0	7007.5972	201.0	3994.1875	92.0	4436.25	1170.0	10725
780.9	9272.25	532.9	6946.6528	556.9	7391.5	291.9	3961.4375	401.9	7010.8333	200.9	3985.0625	91.9	4556.25	1169.0	10395
780.8	9303.75	532.8	6927.5278	556.8	7421.625	291.8	3950.0625	401.8	7013.9722	200.8	4000.375	91.8	4576.25	1168.0	10830
780.7	9273.1875	532.7	6892.1667	556.7	7441.375	291.7	3969.6875	401.7	7034.7778	200.7	3989.75	91.7	4655.0	1167.0	10555
780.6	9225.4375	532.6	6832.1528	556.6	7414.625	291.6	3992.125	401.6	6994.4444	200.6	3989.75	91.6	4572.5	1166.0	10745
780.5	9188.0625	532.5	6808.0417	556.5	7409.625	291.5	3981.8125	401.5	7024.9722	200.5	4025.125	91.5	4552.5	1165.0	10260
780.4	9113.5625	532.4	6800.5	556.4	7435.0	291.4	3965.4375	401.4	7024.5	200.4	4034.0	91.4	4603.75	1164.0	10675
780.3	9091.1875	532.3	6759.6528	556.3	7378.5	291.3	3974.0625	401.3	7030.8333	200.3	4005.1875	91.3	4667.5	1163.0	10475
780.2	9035.0625	532.2	6740.9444	556.2	7427.875	291.2	3971.5	401.2	7043.7639	200.2	4013.375	91.2	4467.5	1162.0	10400
780.1	8949.875	532.1	6717.9861	556.1	7416.125	291.1	3983.5	401.1	7038.4583	200.1	4026.75	91.1	4885.0	1161.0	10715
780.0	8951.4375	532.0	6677.0694	556.0	7410.375	291.0	3969.875	401.0	7038.0556	200.0	4005.625	91.0	4818.75	1160.0	10035
779.9	8881.0625	531.9	6658.2639	555.9	7424.375	290.9	3987.875	400.9	7031.9583	199.9	3988.5	90.9	4792.5	1159.0	10395
779.8	8759.6875	531.8	6647.8611	555.8	7415.375	290.8	3974.9375	400.8	7043.3889	199.8	4009.625	90.8	4872.5	1158.0	10315
779.7	8798.0	531.7	6618.1389	555.7	7423.0	290.7	4000.5	400.7	7073.1389	199.7	4032.8125	90.7	4972.5	1157.0	10150
779.6	8764.375	531.6	6613.5	555.6	7436.5	290.6	3974.1875	400.6	7044.8056	199.6	4021.75	90.6	4936.25	1156.0	10350
