path=/Users/pabloherrero/sabat/xps_spectra/FBI_Cu/G2_Cu/2022_06_30_G2SL/20220630_Cu_G2SL_subl_90min.xy
delimiters=([44, 1015, 1126, 1257, 1417, 1562, 1748, 1863, 1983, 2067, 3502, 3622], [941, 81, 101, 130, 115, 156, 85, 90, 54, 1405, 90, 7018], ['survey', 'C_1s(2)', 'Si_2p', 'Na_1s', 'F_1s', 'Ba_3d5/2', 'O_1s', 'N_1s', 'Si_2s', 'survey_(2)', 'C_1s', 'survey_hd'])
name=Cu_G2SL_subl_90min
label=20220630_Cu_G2SL_subl_90min
date=20.22.0630
other_meta=Cu_G2SL_subl_90min
area=
fit={}
color=
dfx=
range,survey,survey,C_1s(2),C_1s(2),Si_2p,Si_2p,Na_1s,Na_1s,F_1s,F_1s,Ba_3d5/2,Ba_3d5/2,O_1s,O_1s,N_1s,N_1s,Si_2s,Si_2s,survey_(2),survey_(2),C_1s,C_1s,survey_hd,survey_hd,C_1s_bg,C_1s_bg,O_1s_bg,O_1s_bg,N_1s_bg,N_1s_bg,Si_2p_bg,Si_2p_bg,Si_2s_bg,Si_2s_bg
properties,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts
0,936.71,28.673207,299.71,3.260355,106.71,0.26974180000000025,1086.71,75.642577,696.71,32.70344,801.0,35.713845,536.93571,0.12186940000000002,406.8427,0.01202330000000007,160.0,0.21299880000000027,1400.0,84.598107,291.94944,0.09645849999999978,1400.0,95.878405,291.94944,3.405374,536.93571,2.8170726,406.8427,2.7898003,106.71,4.9569421,160.0,4.5237414
1,935.71,32.507563,299.51,3.2552207,106.51,0.045196299999999745,1086.5107,76.486957,696.51079,32.415608,800.8,35.67838,536.73679,0.07487710000000014,406.65169,0.1620712000000002,159.81132,0.3089979000000005,1399.0005,74.941307,291.75045,0.15346400000000004,1399.8,92.8806,291.75045,3.405374,536.73679,2.8170726,406.65169,2.7898003,106.51,4.9569421,159.81132,4.5237414
2,934.71,39.731594,299.31,3.3201029,106.31,0.1978270000000002,1086.3114,75.425254,696.31158,32.83964,800.6,36.12637,536.53786,0.09325209999999995,406.46067,0.0,159.62264,0.40616960000000013,1398.001,73.501878,291.55146,0.31630350000000007,1399.6,90.975147,291.55146,3.405374,536.53786,2.8170726,406.46067,2.7898003,106.31,4.9569421,159.62264,4.5237414
3,933.71,144.281,299.11,3.0538896,106.11,0.3413991000000003,1086.1121,75.92602,696.11237,32.481751,800.4,35.52341,536.33893,0.15795789999999998,406.26966,0.24609397186846227,159.43396,0.3426153000000003,1397.0015,72.873759,291.35247,0.26105160000000005,1399.4,90.007454,291.35247,3.405374,536.33893,2.8170726,406.26966,2.790745228131538,106.11,4.9569421,159.43396,4.5237414
4,932.71,347.11133,298.91,3.1735447,105.91,0.10445659999999979,1085.9128,77.039189,695.91316,33.178697,800.2,34.780473,536.14,0.11503010000000025,406.07865,0.09335528709337693,159.24528,0.04833400000000054,1396.002,69.456395,291.15348,0.29689049999999995,1399.2,88.819762,291.15348,3.405374,536.14,2.8170726,406.07865,2.792048612906623,105.91,4.9569421,159.24528,4.5237414
5,931.71,77.25968,298.71,3.1025906,105.71,0.0,1085.7135,77.075875,695.71395,33.171431,800.0,36.116692,535.94107,0.04059079999999993,405.88764,0.2745154722241785,159.0566,0.3213037000000005,1395.0025,67.277294,290.95449,0.0,1399.0,94.42287,290.95449,3.405374,535.94107,2.8170726,405.88764,2.7934611277758217,105.71,4.9569421,159.0566,4.5237414
6,930.71,25.075202,298.51,3.3406496,105.51,0.42970473320298996,1085.5142,75.806163,695.51474,32.194269,799.8,35.448114,535.74214,0.13894790000000024,405.69663,0.18431380356110827,158.86792,0.0706699000000004,1394.003,63.906229,290.75551,0.23437895598075276,1398.8,90.050105,290.75551,3.405110744019247,535.74214,2.8170726,405.69663,2.795222896438892,105.51,4.95507076679701,158.86792,4.5237414
7,929.71,17.701157,298.31,3.3618899,105.31,0.44711230866854734,1085.3149,76.868225,695.31553,32.147628,799.6,35.824523,535.54321,0.0,405.50562,0.2626614508435732,158.67925,0.0,1393.0035,65.030503,290.55652,0.21667801157419175,1398.6,91.508961,290.55652,3.4046040884258084,535.54321,2.8170726,405.50562,2.796939149156427,105.31,4.9512522913314525,158.67925,4.5237414
8,928.71,18.331577,298.11,3.1220057,105.11,0.036735331326761766,1085.1156,75.93966,695.11632,32.806792,799.4,36.141457,535.34429,0.0723644025439234,405.31461,0.3328161927720812,158.49057,0.1556368912899826,1392.004,63.71967,290.35753,0.05628331890400595,1398.4,95.852536,290.35753,3.404297481095994,535.34429,2.8166430974560765,405.31461,2.799225607227919,105.11,4.949145168673239,158.49057,4.527089908710018
9,927.71,17.601568,297.91,3.1739005,104.91,0.36487451471452825,1084.9163,75.653673,694.91711,32.624758,799.2,35.616005,535.14536,0.28349322108409414,405.1236,0.26327358420754576,158.30189,0.19878573043435654,1391.0046,57.023707,290.15854,0.14942998900974613,1398.2,86.159542,290.15854,3.404066410990254,535.14536,2.814530878915906,405.1236,2.8015144157924543,104.91,4.947396185285472,158.30189,4.534715269565644
10,926.71,18.20757,297.71,3.213447,104.71,0.5652140854146799,1084.717,75.952226,694.71789,32.660698,799.0,35.691358,534.94643,0.24313737453735973,404.93258,0.15565414119246324,158.11321,0.09906745074960632,1390.0051,52.09099,289.95955,0.47172961457465146,1398.0,86.731733,289.95955,3.4033686854253484,534.94643,2.81140502546264,404.93258,2.803123058807537,104.71,4.94334571458532,158.11321,4.541123549250393
11,925.71,16.086292,297.51,3.2502343,104.51,0.34950723345944557,1084.5177,76.599504,694.51868,32.389524,798.8,36.029856,534.7475,0.20877553511221736,404.74157,0.2953884704187977,157.92453,0.2288238023528999,1389.0056,54.28199,289.76056,0.20913740726383478,1397.8,88.507308,289.76056,3.402603892736165,534.7475,2.8087226648877825,404.74157,2.8048549295812024,104.51,4.939362166540555,157.92453,4.5481780976471
