path=/Users/pabloherrero/sabat/xps_spectra/FBI_Cu/G2_Cu/2022_06_30_G2SL/20220630_Cu_G2SL_subl_90min_lowstep.xy
delimiters=([44, 275, 474, 675, 806, 1015, 1427], [201, 169, 171, 101, 179, 382, 7018], ['Si_2p', 'O_1s', 'N_1s', 'Si_2s', 'C_1s', 'Cu_2p', 'survey_hd'])
name=G2SL 90min_lowstep
label=20220630_Cu_G2SL_subl_90min_lowstep
date=20.22.0630
other_meta=Cu_G2SL_subl_90min_lowstep
area=
fit={}
color=
dfx=
range,Si_2p,Si_2p,O_1s,O_1s,N_1s,N_1s,Si_2s,Si_2s,C_1s,C_1s,Cu_2p,Cu_2p,survey_hd,survey_hd,C_1s_bg,C_1s_bg,O_1s_bg,O_1s_bg,N_1s_bg,N_1s_bg,Si_2p_bg,Si_2p_bg,Si_2s_bg,Si_2s_bg,Cu_2p_bg,Cu_2p_bg
properties,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts
0,106.71,0.0,536.91,0.03470679999999993,407.0,0.06173280000000014,160.0,0.054373895380022574,291.91,0.07224649999999988,960.0,1.6090300000000042,1400.0,90.656885,291.91,3.4517568,536.91,2.8232743,407.0,2.916506,106.71,4.9644328,160.0,4.548709904619978,960.0,106.87808
1,106.61,0.01184433974342003,536.81,0.06201599999999985,406.9,0.05293789999999987,159.9,0.050175408840636315,291.81,0.06921400000000011,959.9,0.0,1399.8,89.22038,291.81,3.4517568,536.81,2.8232743,406.9,2.916506,106.61,4.96441066025658,159.9,4.5514357911593635,959.9,106.87808
2,106.51,0.087035668790298,536.71,0.030580699999999794,406.8,0.0,159.8,0.08192796792735635,291.71,0.07021560000000004,959.8,1.6382676505203762,1399.6,89.245142,291.71,3.4517568,536.71,2.8232743,406.8,2.916506,106.51,4.964225831209702,159.8,4.554161732072644,959.8,106.87352234947963
3,106.41,0.035135534340243524,536.61,0.06005599999999989,406.7,0.0072341463371330406,159.7,0.07544356809087738,291.61,0.03838799999999987,959.7,3.7848246599502318,1399.4,87.201979,291.61,3.4517568,536.61,2.8232743,406.7,2.916499753662867,106.41,4.963997465659756,159.7,4.556887831909123,959.7,106.85843534004977
4,106.31,0.049743292030084874,536.51,0.048111500000000085,406.6,0.0465347732097654,159.6,0.09854552285393048,291.51,0.0017409999999999926,959.6,3.7283061436061615,1399.2,86.900782,291.51,3.4517568,536.51,2.8232743,406.6,2.9164533267902346,106.31,4.963838807969915,159.6,4.5596142771460695,959.6,106.83753385639383
5,106.21,0.10978518676783189,536.41,0.060010600000000025,406.5,0.054964112602673865,159.5,0.12615777029567887,291.41,0.0,959.5,3.4545889134507064,1399.0,86.98921,291.41,3.4517568,536.41,2.8232743,406.5,2.916365687397326,106.21,4.963540613232168,159.5,4.562341329704321,959.5,106.81755108654929
6,106.11,0.1436427006950396,536.31,0.0,406.4,0.030472382879627613,159.4,0.08821114994976664,291.31,0.049872129208448523,959.4,3.8110418535330695,1398.8,87.993175,291.31,3.4517155707915514,536.31,2.8232743,406.4,2.9162919171203723,106.11,4.963066899304961,159.4,4.5650693500502335,959.4,106.79733814646693
7,106.01,0.11249227479347379,536.21,0.011780776282672711,406.3,0.06580601460405333,159.3,0.0765760751920661,291.21,0.058587892932974395,959.3,4.219813644107546,1398.6,85.65274,291.21,3.4516259070670254,536.21,2.8232348237173275,406.3,2.9162087853959466,106.01,4.962588125206526,159.3,4.567798824807934,959.3,106.77499635589245
8,105.91,0.14336823586805192,536.11,0.015725647743785487,406.2,0.043616095276832745,159.2,0.011155771187301156,291.11,0.08111638623389883,959.2,5.131829858784101,1398.4,84.578219,291.11,3.4515104137661012,536.11,2.8231426522562146,406.2,2.9161143047231675,105.91,4.962109864131948,159.2,4.570530328812699,959.2,106.7489801412159
9,105.81,0.13344646506469182,536.01,0.04097293941960123,406.1,0.04264397662845898,159.1,0.015583286524119444,291.01,0.06912839334906096,959.1,3.726102572297961,1398.2,83.940068,291.01,3.451386206650939,536.01,2.8229526605803987,406.1,2.916039823371541,105.81,4.961592434935308,159.1,4.5732645134758805,959.1,106.72433742770204
10,105.71,0.1375741638467325,535.91,0.022338189101408723,406.0,0.03400616025121117,159.0,0.02146375863539962,290.91,0.13892228850958377,959.0,4.249681153542184,1398.0,83.636685,290.91,3.451214211490416,535.91,2.8227405108985915,406.0,2.9159736397487888,105.71,4.961085836153267,159.0,4.5760020413646005,959.0,106.70214884645782
11,105.61,0.14654695040437993,535.81,0.026709844477724065,405.9,0.03820951491928426,158.9,0.044308609370731666,290.81,0.1380699775655252,958.9,3.1624516614184444,1397.8,83.770916,290.81,3.4509852224344746,535.81,2.822576155522276,405.9,2.915911285080716,105.61,4.96055474959562,158.9,4.578743590629268,958.9,106.68152833858156
12,105.51,0.1490520918120577,535.71,0.01971460847549844,405.8,0.052906088756927705,158.8,0.09608683911595328,290.71,0.10064822551477048,958.8,4.958423887212589,1397.6,80.075711,290.71,3.4507878744852296,535.71,2.8224205915245015,405.8,2.915832611243072,105.51,4.960002208187943,158.8,4.581489860884047,958.8,106.65893611278742
13,105.41,0.1569667101146539,535.61,0.02090040558039652,405.7,0.05297581257118722,158.7,0.15112160394828944,290.61,0.10359297137809653,958.7,4.6427643337435,1397.4,81.80769,290.61,3.4506190286219036,535.61,2.8222844944196033,405.7,2.9157411874288126,105.41,4.959430189885346,158.7,4.584241596051711,958.7,106.6322256662565
14,105.31,0.2109751766475343,535.51,0.0420056980427197,405.6,0.05843981447959434,158.6,0.06951556385812818,290.51,0.07420505671593425,958.6,4.2713834379654685,1397.2,81.259691,290.51,3.4504720432840656,535.51,2.8220737019572804,405.6,2.9156449855204056,105.31,4.958742423352466,158.6,4.586999636141872,958.6,106.60742656203453
15,105.21,0.22720723859217085,535.41,0.04359905154487187,405.5,0.05543664118380942,158.5,0.05022522771425564,290.41,0.10176523106321955,958.5,1.7077673987684108,1397.0,80.479684,290.41,3.4503265689367804,535.41,2.8217868484551283,405.5,2.9155466588161905,105.21,4.957923361407829,158.5,4.589764972285744,958.5,106.59079260123158
16,105.11,0.1796925262235094,535.31,0.03482574568932062,405.4,0.053152002106351404,158.4,0.043735934869894244,290.31,0.07699140888276323,958.4,3.5929840566536058,1396.8,80.97815,290.31,3.450178791117237,535.31,2.821524054310679,405.4,2.9154528978936485,105.11,4.95716277377649,158.4,4.592538665130106,958.4,106.5760459433464
17,105.01,0.220610583233821,535.21,0.039189062365101446,405.3,0.022507730491821754,158.3,0.06808907445303625,290.21,0.11039281911484666,958.3,5.572301825510834,1396.6,78.730588,290.21,3.4500238808851535,535.21,2.8212760376348984,405.3,2.9153875695081783,105.01,4.956414516766179,158.3,4.5953218255469634,958.3,106.55054817448917
18,104.91,0.21878831911729968,535.11,0.0865578284208186,405.2,0.04188442987000185,158.2,0.054469991855744304,290.11,0.11355925992967464,958.2,7.141541659760321,1396.4,77.728872,290.11,3.449838740070325,535.11,2.8208546715791813,405.2,2.9153319701299982,104.91,4.9555931808827,158.2,4.598115608144256,958.2,106.51517834023969
19,104.81,0.24051706472239598,535.01,0.09525275868890581,405.1,0.09806997361039516,158.1,-0.017808635618997926,290.01,0.10380635572537589,958.1,6.813404233249045,1396.2,77.258456,290.01,3.449659044274624,535.01,2.8202454413110942,405.1,2.915211126389605,104.81,4.954734635277604,158.1,4.600921235618998,958.1,106.47635576675096
