"AtomicLevel.symbol";"AtomicLevel.level";"AtomicLevel.number";"ExcitationEnergy";"SensitivityFactor";"Reference"
"H";"1s";1;1254 eV;4.4399999999999998e-006 Mb;""
"He";"1s";2;1254 eV;0.00019314000000000001 Mb;""
"Li";"1s";3;1254 eV;0.00131646 Mb;""
"Li";"2s";3;1254 eV;1.7759999999999999e-005 Mb;""
"Be";"1s";4;1254 eV;0.00443334 Mb;""
"Be";"2s";4;1254 eV;0.00016427999999999999 Mb;""
"B";"1s";5;1254 eV;0.010922400000000001 Mb;""
"B";"2s";5;1254 eV;0.00048840000000000005 Mb;""
"B";"2p1/2";5;1254 eV;2.2199999999999999e-006 Mb;""
"B";"2p3/2";5;1254 eV;4.4399999999999998e-006 Mb;""
"B";"2p";5;1254 eV;6.6599999999999998e-006 Mb;""
"C";"1s";6;1254 eV;0.022200000000000001 Mb;""
"C";"2s";6;1254 eV;0.0010434000000000001 Mb;""
"C";"2p1/2";6;1254 eV;1.332e-005 Mb;""
"C";"2p3/2";6;1254 eV;2.6639999999999999e-005 Mb;""
"C";"2p";6;1254 eV;3.9959999999999997e-005 Mb;""
"N";"1s";7;1254 eV;0.039294000000000003 Mb;""
"N";"2s";7;1254 eV;0.0018670200000000001 Mb;""
"N";"2p1/2";7;1254 eV;5.5500000000000001e-005 Mb;""
"N";"2p3/2";7;1254 eV;0.00010878 Mb;""
"N";"2p";7;1254 eV;0.00016427999999999999 Mb;""
"O";"1s";8;1254 eV;0.063270000000000007 Mb;""
"O";"2s";8;1254 eV;0.0029859000000000001 Mb;""
"O";"2p1/2";8;1254 eV;0.00016206 Mb;""
"O";"2p3/2";8;1254 eV;0 Mb;""
"O";"2p";8;1254 eV;0.00016206 Mb;""
"F";"1s";9;1254 eV;0.094572000000000003 Mb;""
"F";"2s";9;1254 eV;0.0044133599999999999 Mb;""
"F";"2p1/2";9;1254 eV;0.00039515999999999998 Mb;""
"F";"2p3/2";9;1254 eV;0.00078144 Mb;""
"F";"2p";9;1254 eV;0.0011766000000000001 Mb;""
"Ne";"1s";10;1254 eV;0.13209000000000001 Mb;""
"Ne";"2s";10;1254 eV;0.0061494000000000002 Mb;""
"Ne";"2p1/2";10;1254 eV;0.00084581999999999995 Mb;""
"Ne";"2p3/2";10;1254 eV;0.0016672200000000001 Mb;""
"Ne";"2p";10;1254 eV;0.0025130399999999998 Mb;""
"Na";"1s";11;1254 eV;0.17737800000000001 Mb;""
"Na";"2s";11;1254 eV;0.0086580000000000008 Mb;""
"Na";"2p1/2";11;1254 eV;0.00158508 Mb;""
"Na";"2p3/2";11;1254 eV;0.0031213199999999999 Mb;""
"Na";"2p";11;1254 eV;0.0047064000000000003 Mb;""
"Na";"3s";11;1254 eV;0.00013098 Mb;""
"Mg";"2s";12;1254 eV;0.011655 Mb;""
"Mg";"2p1/2";12;1254 eV;0.0026950799999999999 Mb;""
"Mg";"2p3/2";12;1254 eV;0.0053058000000000003 Mb;""
"Mg";"2p";12;1254 eV;0.0080008800000000001 Mb;""
"Mg";"3s";12;1254 eV;0.00057941999999999998 Mb;""
"Al";"2s";13;1254 eV;0.0151182 Mb;""
"Al";"2p1/2";13;1254 eV;0.0042957000000000004 Mb;""
"Al";"2p3/2";13;1254 eV;0.0084360000000000008 Mb;""
"Al";"2p";13;1254 eV;0.0127317 Mb;""
"Al";"3s";13;1254 eV;0.0010767000000000001 Mb;""
"Al";"3p1/2";13;1254 eV;2.6639999999999999e-005 Mb;""
"Al";"3p3/2";13;1254 eV;5.1060000000000002e-005 Mb;""
"Al";"3p";13;1254 eV;7.7700000000000005e-005 Mb;""
"Si";"2s";14;1254 eV;0.018981000000000001 Mb;""
"Si";"2p1/2";14;1254 eV;0.0064824000000000001 Mb;""
